"Name","DistinguishedName","enabled","description","whenCreated","Stamp"
"BGLRM901012","CN=BGLRM901012,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","False","Disabled due to Inactivity- 12/10/2021","8/27/2019 5:24:34 AM","11/12/2021 8:47:26 AM"
"BGLRO7060328","CN=BGLRO7060328,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"12/31/2019 8:36:58 AM","9/4/2020 12:43:26 PM"
"BGLRM9001133","CN=BGLRM9001133,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"2/26/2020 12:50:35 AM","3/21/2020 4:40:32 PM"
"BGLRT4700622","CN=BGLRT4700622,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True","Disabled - Termed - 4/4/2022 - WO0000001434679","12/13/2021 5:39:08 PM","4/6/2022 7:31:47 AM"
"BGLRM9100251","CN=BGLRM9100251,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"7/26/2018 5:23:24 AM","3/16/2022 12:48:57 PM"
"BGLRO7060039","CN=BGLRO7060039,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"7/17/2019 4:17:58 AM","1/5/2022 1:34:05 PM"
"BGLRM901011","CN=BGLRM901011,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"8/27/2019 5:25:20 AM","1/23/2021 10:20:31 AM"
"BGLRO7060329","CN=BGLRO7060329,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","False","Disabled due to Inactivity- 12/10/2021","12/31/2019 10:17:56 AM","11/29/2021 3:22:42 AM"
"BGLRM9001134","CN=BGLRM9001134,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"2/26/2020 12:51:31 AM","8/4/2020 7:09:23 PM"
"BGLRL5400185","CN=BGLRL5400185,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"7/27/2020 4:36:02 PM","7/11/2022 5:00:06 PM"
"BGLRT4800391","CN=BGLRT4800391,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"12/1/2020 12:28:30 PM","12/1/2020 12:28:30 PM"
"BGLRM9000818","CN=BGLRM9000818,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"11/28/2018 2:01:48 AM","8/15/2020 12:17:29 PM"
"BGLRM91S00022","CN=BGLRM91S00022,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"3/16/2019 12:48:18 PM","7/28/2020 10:46:46 AM"
"BGLRM901015","CN=BGLRM901015,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"8/27/2019 5:28:26 AM","2/28/2020 8:58:33 PM"
"BGLR5400184","CN=BGLR5400184,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","False",,"7/27/2020 4:38:31 PM","7/27/2020 4:38:32 PM"
"BGLRM9001156","CN=BGLRM9001156,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","False","Disabled due to Inactivity- 12/10/2021","3/17/2020 8:14:07 AM","11/12/2021 8:25:10 AM"
"BGLRL5400198","CN=BGLRL5400198,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"7/27/2020 5:22:20 PM","5/20/2021 1:58:34 PM"
"BGLRM91S00024","CN=BGLRM91S00024,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"3/16/2019 3:25:44 PM","1/13/2021 3:09:07 PM"
"BGLRM9100536","CN=BGLRM9100536,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","False","Disabled due to Inactivity- 12/10/2021","4/30/2019 2:34:01 AM","12/2/2021 8:42:06 AM"
"BGLRM901013","CN=BGLRM901013,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","False","Disabled due to Inactivity- 12/10/2021","8/27/2019 5:27:43 AM","11/12/2021 11:44:12 PM"
"BGLRM9001157","CN=BGLRM9001157,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"3/17/2020 8:23:38 AM","2/1/2022 2:03:23 PM"
"BGLRM9000281","CN=BGLRM9000281,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"11/8/2017 11:19:25 PM","2/3/2021 2:12:49 PM"
"BGLRM9001007","CN=BGLRM9001007,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"8/27/2019 10:15:24 AM","12/16/2020 5:00:13 AM"
"BGLRM9001159","CN=BGLRM9001159,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"3/17/2020 8:31:24 AM","3/1/2021 11:29:46 AM"
"BGLRT4700659","CN=BGLRT4700659,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"6/27/2022 3:02:56 PM","7/15/2022 3:44:50 PM"
"HBADT4400176","CN=HBADT4400176,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"12/12/2014 12:15:16 AM","3/14/2020 7:28:43 PM"
"BGLRM9100133","CN=BGLRM9100133,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"4/3/2018 7:13:23 AM","12/2/2020 5:24:48 AM"
"BGLRM9100183","CN=BGLRM9100183,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"6/19/2018 2:04:56 AM","3/2/2021 2:11:47 PM"
"BGLRM9100255","CN=BGLRM9100255,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"7/27/2018 4:31:42 AM","2/24/2022 10:41:42 PM"
"BGLRM9000738","CN=BGLRM9000738,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","False","Disabled due to Inactivity- 12/10/2021","9/6/2018 8:38:12 AM","11/18/2021 8:08:17 AM"
"BGLRT4700299","CN=BGLRT4700299,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"11/28/2018 10:23:13 PM","7/21/2022 2:04:01 PM"
"BGLRM9100577","CN=BGLRM9100577,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","False","Disabled due to Inactivity- 12/10/2021","6/7/2019 3:26:44 AM","11/30/2021 8:41:54 AM"
"BGLRM9001158","CN=BGLRM9001158,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"3/17/2020 8:32:57 AM","12/22/2021 12:39:15 AM"
"BGLRT4600","CN=BGLRT4600,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"12/14/2021 6:39:03 PM","12/14/2021 6:39:04 PM"
"BGLRM9100185","CN=BGLRM9100185,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"6/19/2018 2:24:04 AM","8/6/2020 1:09:17 AM"
"BGLRM9100535","CN=BGLRM9100535,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"4/30/2019 3:46:23 AM","12/9/2020 1:42:54 PM"
"BGLRM9100578","CN=BGLRM9100578,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"6/7/2019 3:39:16 AM","7/7/2020 3:03:40 PM"
"BGLRM9100141","CN=BGLRM9100141,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"4/3/2018 8:26:32 PM","4/21/2022 8:22:36 AM"
"BGLRM91S00057","CN=BGLRM91S00057,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"11/20/2019 5:21:04 AM","8/12/2020 4:30:34 PM"
"BGLRM9001173","CN=BGLRM9001173,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"5/26/2020 2:12:15 PM","12/3/2020 3:08:05 PM"
"BGLRM9100189","CN=BGLRM9100189,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"6/19/2018 4:19:40 AM","12/6/2021 11:20:17 AM"
"BGLRT4800015","CN=BGLRT4800015,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"3/18/2019 2:48:48 PM","4/30/2020 12:04:08 PM"
"BGLRM9100783","CN=BGLRM9100783,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","False","Disabled due to Inactivity- 12/10/2021","5/26/2020 2:14:50 PM","11/12/2021 3:30:07 PM"
"BGLRM9100193","CN=BGLRM9100193,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"6/19/2018 4:39:05 AM","10/7/2020 1:30:18 PM"
"BGLRM9100764","CN=BGLRM9100764,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"2/27/2020 12:06:00 AM","3/1/2020 2:27:29 AM"
"BGLRT4700535","CN=BGLRT4700535,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"5/26/2020 2:21:57 PM","3/10/2022 1:47:31 PM"
"BGLRO7060046","CN=BGLRO7060046,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"7/18/2019 1:58:20 AM","1/10/2022 4:41:37 PM"
"BGLRT4600305","CN=BGLRT4600305,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"1/2/2020 7:40:34 PM","11/11/2020 11:15:06 AM"
"BGLRM9100765","CN=BGLRM9100765,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"2/27/2020 12:10:56 AM","12/8/2021 5:33:48 PM"
"BGLRT4600350","CN=BGLRT4600350,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"12/15/2021 12:37:16 PM","12/15/2021 12:37:17 PM"
"BGLRM9100423","CN=BGLRM9100423,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"1/8/2019 12:40:00 AM","10/16/2020 11:26:30 AM"
"BGLRM9000292","CN=BGLRM9000292,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"2/9/2019 10:22:31 PM","3/16/2022 10:44:16 PM"
"BGLRO7060045","CN=BGLRO7060045,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","False","Disabled due to Inactivity- 12/10/2021","7/18/2019 2:05:22 AM","11/12/2021 4:07:19 PM"
"BGLRO7060383","CN=BGLRO7060383,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"5/26/2020 3:53:16 PM","12/12/2021 2:56:24 AM"
"BGLRM9000643","CN=BGLRM9000643,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"6/19/2018 9:44:11 PM","8/18/2021 10:07:48 AM"
"BGLRM9100741","CN=BGLRM9100741,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"2/7/2020 3:25:28 AM","12/12/2021 10:17:09 PM"
"BGLRM9100766","CN=BGLRM9100766,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","False","Disabled due to Inactivity- 12/10/2021","2/27/2020 12:26:21 AM","11/11/2021 8:37:18 PM"
"BGLRL5400210","CN=BGLRL5400210,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"7/28/2020 12:30:36 PM","4/18/2021 7:27:05 PM"
"BGLRM9100424","CN=BGLRM9100424,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"1/8/2019 12:53:27 AM","9/13/2020 9:23:40 AM"
"BGLRT4950020","CN=BGLRT4950020,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","False",,"2/27/2020 1:24:02 AM","3/13/2020 2:51:38 PM"
"BGLRM9000349","CN=BGLRM9000349,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"8/18/2017 9:38:47 PM","3/23/2020 10:56:49 PM"
"BGLRT44000001","CN=BGLRT44000001,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"11/10/2017 5:45:40 PM","3/14/2020 11:23:18 PM"
"BGLRM9001174","CN=BGLRM9001174,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"5/26/2020 8:07:59 PM","9/28/2020 7:24:03 PM"
"BGLRM9100142","CN=BGLRM9100142,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"4/4/2018 2:33:39 AM","10/10/2020 11:25:01 PM"
"BGLRM9000645","CN=BGLRM9000645,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"6/20/2018 1:16:03 AM","9/27/2020 12:31:35 PM"
"BGLRM9100620","CN=BGLRM9100620,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"8/30/2019 8:55:22 AM","7/27/2020 5:08:37 PM"
"BGLRM9001175","CN=BGLRM9001175,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","False","Disabled due to Inactivity- 12/10/2021","5/26/2020 8:09:52 PM","11/30/2021 8:41:57 AM"
"BGLRM901018","CN=BGLRM901018,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","False","Disabled due to Inactivity- 12/10/2021","8/30/2019 9:18:27 AM","11/12/2021 6:36:49 PM"
"BGLRO7060117","CN=BGLRO7060117,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","False","Disabled due to Inactivity- 12/10/2021","10/17/2019 2:47:00 AM","11/12/2021 7:39:56 AM"
"BGLRM9100196","CN=BGLRM9100196,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","False","Disabled due to Inactivity- 12/10/2021","6/20/2018 2:50:51 AM","12/13/2021 10:15:19 AM"
"BGLRM9000741","CN=BGLRM9000741,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"9/8/2018 1:00:33 AM","2/14/2020 3:17:02 PM"
"BGLRM901019","CN=BGLRM901019,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","False","Disabled due to Inactivity- 12/10/2021","8/30/2019 9:43:42 AM","12/2/2021 8:41:41 AM"
"BGLRO7060118","CN=BGLRO7060118,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","False","Disabled due to Inactivity- 12/10/2021","10/17/2019 2:54:30 AM","11/11/2021 11:09:44 PM"
"BGLRM9001108","CN=BGLRM9001108,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","False",,"1/4/2020 4:44:47 AM","7/5/2020 11:03:01 PM"
"BGLRL5400244","CN=BGLRL5400244,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"7/28/2020 6:57:24 PM","8/2/2022 5:58:29 PM"
"BGLRT4800387","CN=BGLRT4800387,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"12/16/2021 6:29:53 PM","2/28/2022 12:48:22 PM"
"BGLRO7060048","CN=BGLRO7060048,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","False","Disabled due to Inactivity- 12/10/2021","7/19/2019 3:37:06 AM","11/11/2021 9:09:12 PM"
"BGLRM9100621","CN=BGLRM9100621,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"8/30/2019 9:46:47 AM","8/27/2020 6:17:35 AM"
"BGLRO7060119","CN=BGLRO7060119,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"10/17/2019 2:59:16 AM","7/23/2020 11:27:53 AM"
"BGLRM9001109","CN=BGLRM9001109,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"1/4/2020 5:09:48 AM","1/5/2022 7:03:12 AM"
"BGLRM9100784","CN=BGLRM9100784,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"5/27/2020 7:54:27 PM","6/8/2020 8:14:56 PM"
"BGLRT4800070","CN=BGLRT4800070,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"5/3/2019 2:28:18 AM","4/27/2021 11:24:44 AM"
"BGLRM9100459","CN=BGLRM9100459,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"10/17/2019 4:41:53 AM","1/7/2021 10:25:32 PM"
"BGLRM91S00100","CN=BGLRM91S00100,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"1/4/2020 5:12:45 AM","3/4/2021 5:58:37 AM"
"BGLRT49500329","CN=BGLRT49500329,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","False",,"9/24/2020 10:21:32 AM","9/24/2020 10:21:32 AM"
"BGLRM9100150","CN=BGLRM9100150,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"4/5/2018 12:30:11 AM","8/22/2021 5:32:02 PM"
"BGLRO7060005","CN=BGLRO7060005,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"6/11/2019 2:32:33 AM","9/16/2020 3:39:23 PM"
"BGLRO7060122","CN=BGLRO7060122,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"10/17/2019 5:42:17 AM","4/26/2020 6:42:06 PM"
"BGLRM9001110","CN=BGLRM9001110,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"1/4/2020 5:34:50 AM","3/4/2020 8:56:41 AM"
"BGLRT1400140","CN=BGLRT1400140,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"3/21/2022 1:01:14 PM","6/26/2022 7:27:03 PM"
"BGLRM9100622","CN=BGLRM9100622,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","False","Disabled due to Inactivity- 12/10/2021","9/3/2019 1:01:32 AM","11/12/2021 5:00:39 PM"
"BGLRM9000566","CN=BGLRM9000566,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"5/22/2018 5:25:13 AM","8/16/2020 12:10:35 PM"
"BGLRM9000649","CN=BGLRM9000649,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"6/21/2018 4:44:06 AM","3/17/2021 10:48:37 PM"
"BGLRT4700304","CN=BGLRT4700304,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"12/3/2018 10:01:17 AM","6/24/2021 3:31:10 PM"
"BGLRM9100623","CN=BGLRM9100623,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"9/3/2019 1:18:25 AM","8/13/2020 3:02:07 PM"
"BGLRO7060176","CN=BGLRO7060176,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"11/22/2019 4:57:36 AM","9/23/2020 6:03:42 AM"
"BGLRT1400152","CN=BGLRT1400152,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"7/1/2022 1:09:50 PM","8/3/2022 12:21:39 AM"
"BGLRM9000651","CN=BGLRM9000651,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","False","Disabled due to Inactivity- 12/10/2021","6/21/2018 2:07:26 PM","12/2/2021 8:41:35 AM"
"BGLRM91S00054","CN=BGLRM91S00054,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","True",,"9/3/2019 1:18:36 AM","8/11/2020 4:29:18 PM"
