Computer,DistinguishedName,enabled,description,whenCreated,Stamp
BGLRT1400076,"CN=BGLRT1400076,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,5/11/2021 18:17,5/19/2021 14:15
BGLRM91S00053,"CN=BGLRM91S00053,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,8/14/2019 4:07,9/7/2020 19:22
BGLRO7060085,"CN=BGLRO7060085,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",FALSE,Disabled due to Inactivity- 12/10/2021,8/6/2019 5:26,11/12/2021 6:07
BGLRM9100616,"CN=BGLRM9100616,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,8/23/2019 6:07,9/18/2020 12:05
BGLRM9100424,"CN=BGLRM9100424,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,1/8/2019 0:53,9/13/2020 9:23
BGLRO7060145,"CN=BGLRO7060145,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,11/6/2019 3:47,9/11/2020 19:32
BGLRM9100121,"CN=BGLRM9100121,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,3/30/2018 17:13,3/17/2021 18:40
BGLRM9001102,"CN=BGLRM9001102,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",FALSE,Disabled - Termed - 2/14/2022 - WO0000001387411,12/10/2019 8:57,12/9/2021 8:42
BGLRM9100094,"CN=BGLRM9100094,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,3/6/2018 0:20,3/16/2022 14:13
BGLRO7060146,"CN=BGLRO7060146,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,11/6/2019 3:53,12/31/2020 14:18
BGLRM9100504,"CN=BGLRM9100504,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,2/27/2019 3:40,8/28/2020 12:58
BGLRM9100071,"CN=BGLRM9100071,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,2/16/2018 0:38,2/23/2020 17:44
BGLRM9000107,"CN=BGLRM9000107,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,7/27/2017 22:58,8/11/2020 15:04
BGLRM91S00010,"CN=BGLRM91S00010,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,3/8/2019 7:47,2/17/2021 1:26
BGLRT4700039,"CN=BGLRT4700039,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,2/17/2018 1:43,8/6/2020 14:13
BGLRO7060358,"CN=BGLRO7060358,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,2/12/2020 2:02,7/28/2020 14:09
BGLRM91S00057,"CN=BGLRM91S00057,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,11/20/2019 5:21,8/12/2020 16:30
BGLRM9000628,"CN=BGLRM9000628,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",FALSE,Disabled due to Inactivity- 12/10/2021,6/5/2018 15:14,12/2/2021 8:41
BGLRT49500481,"CN=BGLRT49500481,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,10/12/2021 17:43,6/6/2022 14:42
BGLRT1400034,"CN=BGLRT1400034,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,12/1/2021 15:04,12/1/2021 15:04
BGLRM9000885,"CN=BGLRM9000885,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,5/15/2019 6:14,2/16/2021 14:53
BGLRM9100173,"CN=BGLRM9100173,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",FALSE,Disabled due to Inactivity- 12/10/2021,6/12/2018 2:33,12/2/2021 8:42
BGLRM9000333,"CN=BGLRM9000333,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,2/10/2020 23:45,1/11/2021 12:27
BGLRM9001125,"CN=BGLRM9001125,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,2/13/2020 5:05,7/30/2020 21:12
BGLRM91S00011,"CN=BGLRM91S00011,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,3/8/2019 7:52,8/11/2020 15:19
BGLRM9000381,"CN=BGLRM9000381,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",FALSE,Disabled due to Inactivity- 12/10/2021,7/19/2017 5:07,11/11/2021 21:40
BGLRM9001140,"CN=BGLRM9001140,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,3/3/2020 5:08,2/2/2022 15:38
BGLRM9000469,"CN=BGLRM9000469,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,10/26/2017 0:36,9/24/2020 13:54
BGLRM9100628,"CN=BGLRM9100628,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,9/17/2019 3:28,9/13/2020 8:31
BGLRM91S00012,"CN=BGLRM91S00012,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,3/8/2019 7:54,6/11/2020 16:00
BGLRT4600232,"CN=BGLRT4600232,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,6/29/2018 23:39,4/28/2022 16:25
BGLRX10009,"CN=BGLRX10009,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,8/9/2021 14:20,2/23/2022 10:56
BGLRO7060342,"CN=BGLRO7060342,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,1/30/2020 17:54,9/20/2020 20:02
BGLRM9100182,"CN=BGLRM9100182,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,6/15/2018 8:01,8/9/2020 19:04
BGLRM9001126,"CN=BGLRM9001126,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,2/13/2020 5:27,8/13/2020 17:54
BGLRM9100774,"CN=BGLRM9100774,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,3/3/2020 5:30,6/2/2020 17:13
BGLRM9100606,"CN=BGLRM9100606,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,8/6/2019 20:48,7/30/2020 17:56
BGLRM9000516,"CN=BGLRM9000516,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,1/24/2018 23:46,1/4/2022 23:25
BGLRM9000690,"CN=BGLRM9000690,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,7/17/2018 8:27,9/13/2020 10:53
BGLRT4800386,"CN=BGLRT4800386,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,11/20/2020 15:13,11/22/2020 16:09
BGLRO7060148,"CN=BGLRO7060148,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,11/6/2019 4:02,8/17/2020 16:28
BGLRM9100214,"CN=BGLRM9100214,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,6/30/2018 0:39,9/21/2020 17:22
BGLRT4950007,"CN=BGLRT4950007,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,2/4/2020 22:27,3/1/2021 16:43
BGLRT4800070,"CN=BGLRT4800070,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,5/3/2019 2:28,4/27/2021 11:24
BGLRL5400305,"CN=BGLRL5400305,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,7/31/2020 11:58,1/28/2022 10:22
BGLRO7060046,"CN=BGLRO7060046,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,7/18/2019 1:58,1/10/2022 16:41
BGLRT4700054,"CN=BGLRT4700054,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,3/22/2019 12:34,11/16/2020 12:38
BGLRM9000346,"CN=BGLRM9000346,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,6/17/2017 0:45,3/20/2020 19:29
BGLRM9000382,"CN=BGLRM9000382,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,8/3/2017 12:23,2/17/2021 10:24
BGLRT4500012,"CN=BGLRT4500012,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,3/12/2020 0:59,7/15/2020 13:01
BGLRM91S00006,"CN=BGLRM91S00006,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,3/6/2019 3:34,10/25/2020 14:51
BGLRT4600270,"CN=BGLRT4600270,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",FALSE,Disabled - Termed - 2/16/2022 - WO0000001388983,4/4/2019 12:55,2/14/2022 18:11
BGLRM9100184,"CN=BGLRM9100184,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",FALSE,Disabled - Termed - 3/14/2022 - WO0000001415884,10/3/2019 13:36,11/12/2021 10:19
BGLRM91S00007,"CN=BGLRM91S00007,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,3/6/2019 3:36,6/11/2020 18:12
BGLRM9000649,"CN=BGLRM9000649,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,6/21/2018 4:44,3/17/2021 22:48
BGLRM9000783,"CN=BGLRM9000783,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,10/24/2018 2:49,3/19/2020 16:40
BGLRM9100151,"CN=BGLRM9100151,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",FALSE,Disabled due to Inactivity- 12/10/2021,1/17/2019 2:52,12/5/2021 0:21
BGLRO7060151,"CN=BGLRO7060151,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,11/6/2019 4:14,7/3/2020 4:39
BGLRM9100012,"CN=BGLRM9100012,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",FALSE,Disabled due to Inactivity- 12/10/2021,1/17/2020 0:28,11/16/2021 8:41
BGLRM9100584,"CN=BGLRM9100584,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,6/15/2019 4:59,6/19/2020 19:25
BGLRT4700068,"CN=BGLRT4700068,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,6/15/2018 10:15,9/27/2021 15:43
BGLRM9000772,"CN=BGLRM9000772,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",FALSE,Disabled due to Inactivity- 12/10/2021,10/15/2018 9:56,11/30/2021 13:11
BGLRM9100556,"CN=BGLRM9100556,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,5/28/2019 0:35,3/14/2021 14:55
BGLRM9100255,"CN=BGLRM9100255,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,7/27/2018 4:31,2/24/2022 22:41
BGLRT4600150,"CN=BGLRT4600150,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,3/31/2017 11:27,1/5/2022 17:49
BGLRM9001191,"CN=BGLRM9001191,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,7/8/2020 13:18,7/9/2020 13:18
BGLRM9001141,"CN=BGLRM9001141,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,3/3/2020 6:02,6/11/2020 17:40
BGLRM9100291,"CN=BGLRM9100291,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,8/29/2018 4:45,8/17/2020 13:57
BGLRM9000858,"CN=BGLRM9000858,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",FALSE,Disabled due to Inactivity- 12/10/2021,12/28/2018 5:10,11/12/2021 20:30
BGLRM91S00036,"CN=BGLRM91S00036,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",FALSE,Disabled due to Inactivity- 12/10/2021,3/30/2019 18:39,12/2/2021 8:42
BGLRT4600305,"CN=BGLRT4600305,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,1/2/2020 19:40,11/11/2020 11:15
BGLRM9000201,"CN=BGLRM9000201,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,8/11/2017 3:08,7/2/2020 19:00
BGLRM9001190,"CN=BGLRM9001190,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,7/8/2020 13:24,2/2/2022 15:25
BGLRM91S00052,"CN=BGLRM91S00052,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",FALSE,Disabled due to Inactivity- 12/10/2021,7/4/2019 1:44,12/2/2021 8:42
BGLRO7060045,"CN=BGLRO7060045,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",FALSE,Disabled due to Inactivity- 12/10/2021,7/18/2019 2:05,11/12/2021 16:07
BGLRO7060048,"CN=BGLRO7060048,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",FALSE,Disabled due to Inactivity- 12/10/2021,7/19/2019 3:37,11/11/2021 21:09
BGLRT4700312,"CN=BGLRT4700312,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,12/12/2018 8:18,8/24/2021 14:02
BGLRM9000479,"CN=BGLRM9000479,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",FALSE,Disabled due to Inactivity- 12/10/2021,3/26/2019 1:12,11/12/2021 18:07
BGLRT4600350,"CN=BGLRT4600350,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,12/15/2021 12:37,12/15/2021 12:37
BGLRM9100784,"CN=BGLRM9100784,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,5/27/2020 19:54,6/8/2020 20:14
BGLRM9001176,"CN=BGLRM9001176,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,6/4/2020 14:23,3/1/2021 0:57
BGLRO7060014,"CN=BGLRO7060014,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,6/26/2019 1:12,7/14/2020 9:48
BGLRT4700666,"CN=BGLRT4700666,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,4/8/2022 9:25,5/10/2022 19:26
BGLRT4700311,"CN=BGLRT4700311,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,12/12/2018 8:17,7/15/2020 19:37
BGLRO7060306,"CN=BGLRO7060306,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,12/23/2019 16:35,7/30/2020 17:04
BGLRM9100068,"CN=BGLRM9100068,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,9/24/2019 1:52,3/16/2022 12:41
BGLRM91S00022,"CN=BGLRM91S00022,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,3/16/2019 12:48,7/28/2020 10:46
BGLRM9000853,"CN=BGLRM9000853,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,12/26/2018 23:37,2/2/2022 15:40
BGLRT49500413,"CN=BGLRT49500413,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,12/29/2020 12:11,2/2/2021 16:40
BGLRM91S00020,"CN=BGLRM91S00020,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,3/16/2019 12:47,9/17/2020 12:55
BGLRM9001173,"CN=BGLRM9001173,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,5/26/2020 14:12,12/3/2020 15:08
BGLRL5400053,"CN=BGLRL5400053,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,7/23/2020 12:09,3/18/2021 11:48
BGLRO7060366,"CN=BGLRO7060366,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,3/4/2020 1:22,10/29/2020 21:32
BGLRT4600291,"CN=BGLRT4600291,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",FALSE,,11/11/2020 13:33,11/11/2020 13:33
BGLRM9100783,"CN=BGLRM9100783,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",FALSE,Disabled due to Inactivity- 12/10/2021,5/26/2020 14:14,11/12/2021 15:30
BGLRO7060019,"CN=BGLRO7060019,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,6/27/2019 1:49,3/21/2020 16:34
BGLRM9001181,"CN=BGLRM9001181,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,6/18/2020 17:57,8/24/2020 9:45
BGLRO7060401,"CN=BGLRO7060401,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,7/22/2020 11:58,2/1/2022 17:46
BGLRM9001143,"CN=BGLRM9001143,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",FALSE,Disabled due to Inactivity- 12/10/2021,3/6/2020 2:37,12/13/2021 10:15
BGLRM9100725,"CN=BGLRM9100725,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",FALSE,Disabled due to Inactivity- 12/10/2021,11/12/2020 13:36,11/12/2021 16:50
BGLRT4600332,"CN=BGLRT4600332,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,11/23/2020 14:18,4/10/2021 18:19
BGLRT4600340,"CN=BGLRT4600340,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,3/30/2021 14:27,5/30/2021 12:49
BGLRT4600221,"CN=BGLRT4600221,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,6/8/2018 23:47,8/22/2020 13:57
BGLRM9001188,"CN=BGLRM9001188,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,7/7/2020 18:16,7/25/2020 18:54
BGLRO7060400,"CN=BGLRO7060400,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",FALSE,Disabled due to Inactivity- 12/10/2021,7/22/2020 11:59,11/22/2021 8:41
BGLRM9100321,"CN=BGLRM9100321,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,10/4/2018 3:52,7/3/2020 18:48
BGLRM91S00028,"CN=BGLRM91S00028,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,3/27/2019 3:16,9/5/2020 20:14
BGLRM9000643,"CN=BGLRM9000643,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,6/19/2018 21:44,8/18/2021 10:07
BGLRM9001124,"CN=BGLRM9001124,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",FALSE,Disabled due to Inactivity- 12/10/2021,2/12/2020 4:14,12/9/2021 1:23
BGLRM91S00001,"CN=BGLRM91S00001,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,3/5/2019 7:50,3/12/2020 12:55
BGLRM91S00008,"CN=BGLRM91S00008,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,3/6/2019 5:28,3/22/2021 12:18
BGLRO7060027,"CN=BGLRO7060027,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,9/17/2019 4:17,8/25/2020 12:13
BGLRM901034,"CN=BGLRM901034,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,9/19/2019 4:29,6/8/2020 18:33
BGLRT4800027,"CN=BGLRT4800027,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,5/11/2018 0:22,11/9/2021 14:43
BGLRM9100232,"CN=BGLRM9100232,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,7/17/2018 16:54,9/1/2020 17:17
BGLRO7060402,"CN=BGLRO7060402,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,7/22/2020 12:04,8/16/2020 21:54
BGLRM9000768,"CN=BGLRM9000768,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",FALSE,,10/4/2018 4:03,2/2/2022 11:01
BGLRM9100631,"CN=BGLRM9100631,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,9/17/2019 4:28,3/18/2020 6:13
BGLRM9100474,"CN=BGLRM9100474,OU=BGLR Desktops,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com",TRUE,,2/6/2019 4:15,9/14/2020 10:42
