#TYPE Microsoft.ActiveDirectory.Management.ADGroup
"distinguishedName","GroupCategory","GroupScope","name","objectClass","objectGUID","SamAccountName","SID"
"CN=India-webproxy-reports,OU=HBAD Exchange,OU=HBAD,DC=bsg,DC=ad,DC=adp,DC=com","Distribution","Universal","India-webproxy-reports","group","46eaf4ec-38f6-40bb-b31b-154c84ab97f2","India-webproxy-reports","S-1-5-21-1064954374-356710528-997385118-194917"
"CN=IntuneHDAdmins,OU=EDGE Groups,OU=Edge,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","IntuneHDAdmins","group","569b9487-b2a9-49d0-958e-a0231d82d528","IntuneHDAdmins","S-1-5-21-1064954374-356710528-997385118-197281"
"CN=Clientless_TLS_VPN_Legacy_Users,OU=CORP Groups,OU=CORP,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","Clientless_TLS_VPN_Legacy_Users","group","b47d5274-0041-48f6-ad8b-db4805a04c9c","Clientless_TLS_VPN_Legacy_Users","S-1-5-21-1064954374-356710528-997385118-193500"
"CN=Clientless_TLS_VPN_Approved_Users,OU=CORP Groups,OU=CORP,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","Clientless_TLS_VPN_Approved_Users","group","fa760e94-fa83-41aa-946f-b8ab830b05c8","Clientless_TLS_VPN_Approved_Users","S-1-5-21-1064954374-356710528-997385118-194553"
"CN=ALL_Leader0_Tim Gokey Org_GBS,OU=CORP Exchange,OU=CORP,DC=bsg,DC=ad,DC=adp,DC=com","Distribution","Universal","ALL_Leader0_Tim Gokey Org_GBS","group","2f9ee0ef-56e1-4229-9c70-204a0fc6553c","ALL_Leader0_Tim Gokey Org_GBS","S-1-5-21-1064954374-356710528-997385118-200389"
"CN=EdgeCitrix-JumpUsersException,OU=EDGE Groups,OU=Edge,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","EdgeCitrix-JumpUsersException","group","14b72cdf-64c2-4761-8dd6-9770b575e4fc","EdgeCitrix-JumpUsersException","S-1-5-21-1064954374-356710528-997385118-210637"
"CN=BR-O365MigratingAdmins,OU=EDGE Groups,OU=Edge,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","BR-O365MigratingAdmins","group","fb46cc51-8e78-496a-ae51-7ceca11f3cdf","BR-O365MigratingAdmins","S-1-5-21-1064954374-356710528-997385118-210674"
"CN=ALL_Jenkins_DevOps_Access List_GBS,OU=CORP Exchange,OU=CORP,DC=bsg,DC=ad,DC=adp,DC=com","Security","DomainLocal","ALL_Jenkins_DevOps_Access List_GBS","group","559c6a10-1e57-4b06-9021-f4b83a11e171","ALL_Jenkins_DevOps_Access List_GBS","S-1-5-21-1064954374-356710528-997385118-200992"
"CN=ALL_Leader0_Tim Gokey Org_Associates Only_GBS,OU=CORP Exchange,OU=CORP,DC=bsg,DC=ad,DC=adp,DC=com","Distribution","Universal","ALL_Leader0_Tim Gokey Org_Associates Only_GBS","group","5591ee82-63c5-47e8-843a-491b447a8961","ALL_Leader0_Tim Gokey Org_Associates Only_GBS","S-1-5-21-1064954374-356710528-997385118-210711"
"CN=Eseperation_IT_India,OU=HBAD Exchange,OU=HBAD,DC=bsg,DC=ad,DC=adp,DC=com","Distribution","Universal","Eseperation_IT_India","group","881b175a-7e7f-4bcb-967f-3285ac9dbae8","Eseperation_IT_India","S-1-5-21-1064954374-356710528-997385118-213811"
"CN=BR-SSPR-Testing,OU=EDGE Groups,OU=Edge,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","BR-SSPR-Testing","group","334f6326-ae4d-47bd-a59b-e67dd64cf7eb","BR-SSPR-Testing","S-1-5-21-1064954374-356710528-997385118-200911"
"CN=BR-DLManagers,OU=EDGE Groups,OU=Edge,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","BR-DLManagers","group","a62b36ad-6a3d-4c3f-8311-319b853320f5","BR-DLManagers","S-1-5-21-1064954374-356710528-997385118-211085"
"CN=UC-WebEx-Global,OU=CORP Exchange,OU=CORP,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","UC-WebEx-Global","group","a87713c4-fb88-4fa7-9975-8b870ef1fec0","UC-WebEx-Global","S-1-5-21-1064954374-356710528-997385118-223226"
"CN=ALL_Leader4_Leela Krishna Munnungi_GBS,OU=CORP Exchange,OU=CORP,DC=bsg,DC=ad,DC=adp,DC=com","Distribution","Universal","ALL_Leader4_Leela Krishna Munnungi_GBS","group","34108179-d057-4325-a8e2-6906a17464a9","ALL_Leader4_Leela Krishna Munnungi_GBS","S-1-5-21-1064954374-356710528-997385118-228718"
"CN=ALL_Leader4_Leela Krishna Munnungi_ Assoc Only_GBS,OU=CORP Exchange,OU=CORP,DC=bsg,DC=ad,DC=adp,DC=com","Distribution","Universal","ALL_Leader4_Leela Krishna Munnungi_ Assoc Only_GBS","group","5ff6c0e8-1bd1-4ae5-b8bc-a89fbfae4f64","ALL_Leader4_Leela Krishna Munnungi_ Assoc Only_GBS","S-1-5-21-1064954374-356710528-997385118-217580"
"CN=BCP India IT,OU=HBAD Exchange,OU=HBAD,DC=bsg,DC=ad,DC=adp,DC=com","Distribution","Universal","BCP India IT","group","813ca48c-ae38-434a-a211-b75d9ffde1fd","BCP India IT","S-1-5-21-1064954374-356710528-997385118-229870"
"CN=BR-ISE-DUO-EMP,OU=CORP Groups,OU=CORP,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","BR-ISE-DUO-EMP","group","daa21285-1ce6-4669-abb2-2d7e277aaade","BR-ISE-DUO-EMP","S-1-5-21-1064954374-356710528-997385118-242139"
"CN=Intune-Mobile-CiscoDuo,OU=CORP Groups,OU=CORP,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","Intune-Mobile-CiscoDuo","group","0d9d053f-e333-42e9-b2a2-c356f6f71f75","Intune-Mobile-CiscoDuo","S-1-5-21-1064954374-356710528-997385118-235531"
"CN=SC-Profile-ECM-Engineer,OU=CORP SCCM Groups,OU=CORP,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","SC-Profile-ECM-Engineer","group","1e9af8aa-10c4-4b74-a3e0-32f92b061eae","SC-Profile-ECM-Engineer","S-1-5-21-1064954374-356710528-997385118-263814"
"CN=BR-BLR-IT-ITSM Alerts,OU=BGLR Exchange,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","Distribution","Universal","BR-BLR-IT-ITSM Alerts","group","ea49c290-d9dc-46b3-8c5c-b670c15055f7","BR-BLR-IT-ITSM Alerts","S-1-5-21-1064954374-356710528-997385118-267647"
"CN=BRIndia_ERT_Members_Bangalore,OU=BGLR Exchange,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","Distribution","Universal","BRIndia_ERT_Members_Bangalore","group","76b3572f-9fef-4052-9af7-75f1c7dee216","BRIndia_ERT_Members_Bangalore","S-1-5-21-1064954374-356710528-997385118-273956"
"CN=All_Leader_LeelaKrishna Munnangi Org_AssocOnly_GBS,OU=CORP Exchange,OU=CORP,DC=bsg,DC=ad,DC=adp,DC=com","Distribution","Universal","All_Leader_LeelaKrishna Munnangi Org_AssocOnly_GBS","group","da984422-ee5a-4030-a923-0b0a6384ad9d","All_Leader_LeelaKrishna Munnangi Org_AssocOnly_GBS","S-1-5-21-1064954374-356710528-997385118-283609"
"CN=BR India FTE All,OU=HBAD Exchange,OU=HBAD,DC=bsg,DC=ad,DC=adp,DC=com","Distribution","Universal","BR India FTE All","group","a35ce6d9-9fa1-43b8-ab54-1e1af3d0af62","BR India FTE All","S-1-5-21-1064954374-356710528-997385118-283770"
"CN=BR-BLR-IT-VM-Alerts,OU=BGLR Exchange,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","Distribution","Universal","BR-BLR-IT-VM-Alerts","group","dee57bb3-92cb-41ba-bbf9-b36ab3104cd9","BR-BLR-IT-VM-Alerts","S-1-5-21-1064954374-356710528-997385118-294602"
"CN=ADDS-DuoAdmin-HelpDesk,OU=ADMIN Groups,OU=ADMIN,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","ADDS-DuoAdmin-HelpDesk","group","d2403fea-ec5c-4d35-9c22-3869dc11be3d","ADDS-DuoAdmin-HelpDesk","S-1-5-21-1064954374-356710528-997385118-303154"
