#TYPE Microsoft.ActiveDirectory.Management.ADGroup
"distinguishedName","GroupCategory","GroupScope","name","objectClass","objectGUID","SamAccountName","SID"
"CN=PM_DevOps_GitLab_Users,OU=EDGE Groups,OU=Edge,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","PM_DevOps_GitLab_Users","group","d03755dc-4273-4e37-b1d2-d16f4fde11f4","PM_DevOps_GitLab_Users","S-1-5-21-1064954374-356710528-997385118-200176"
"CN=EdgeCitrix-Unicorn Dedicated Users,OU=EDGE Groups,OU=Edge,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","EdgeCitrix-Unicorn Dedicated Users","group","133ee812-d2b0-4c29-9131-d5fd29521d07","EdgeCitrix-Unicorn Dedicated Users","S-1-5-21-1064954374-356710528-997385118-201832"
"CN=ALL_Leader0_Tim Gokey Org_GBS,OU=CORP Exchange,OU=CORP,DC=bsg,DC=ad,DC=adp,DC=com","Distribution","Universal","ALL_Leader0_Tim Gokey Org_GBS","group","2f9ee0ef-56e1-4229-9c70-204a0fc6553c","ALL_Leader0_Tim Gokey Org_GBS","S-1-5-21-1064954374-356710528-997385118-200389"
"CN=ALL_Jenkins_DevOps_Access List_GBS,OU=CORP Exchange,OU=CORP,DC=bsg,DC=ad,DC=adp,DC=com","Security","DomainLocal","ALL_Jenkins_DevOps_Access List_GBS","group","559c6a10-1e57-4b06-9021-f4b83a11e171","ALL_Jenkins_DevOps_Access List_GBS","S-1-5-21-1064954374-356710528-997385118-200992"
"CN=ALL_Leader0_Tim Gokey Org_Associates Only_GBS,OU=CORP Exchange,OU=CORP,DC=bsg,DC=ad,DC=adp,DC=com","Distribution","Universal","ALL_Leader0_Tim Gokey Org_Associates Only_GBS","group","5591ee82-63c5-47e8-843a-491b447a8961","ALL_Leader0_Tim Gokey Org_Associates Only_GBS","S-1-5-21-1064954374-356710528-997385118-210711"
"CN=AWS-554508204760-BR_UNIPRU_DEV_DeveloperPower_User_Role,OU=CORP AWS Groups,OU=CORP,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","AWS-554508204760-BR_UNIPRU_DEV_DeveloperPower_User_Role","group","353dc0da-c11f-4de2-a86d-dff76d8aacc8","AWS-554508204760-BR_UNIPRU_DEV_DeveloperPower_User_Role","S-1-5-21-1064954374-356710528-997385118-213280"
"CN=AWS-541315711503-BR_UNIPRU_PRO_ReadOnly_User_Role,OU=CORP AWS Groups,OU=CORP,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","AWS-541315711503-BR_UNIPRU_PRO_ReadOnly_User_Role","group","5b903e1a-2905-4485-b4fd-a3cb1153a7bc","AWS-541315711503-BR_UNIPRU_PRO_ReadOnly_User_Role","S-1-5-21-1064954374-356710528-997385118-212987"
"CN=AWS-639173460943-BR_UNIPRU_TST_ReadOnly_User_Role,OU=CORP AWS Groups,OU=CORP,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","AWS-639173460943-BR_UNIPRU_TST_ReadOnly_User_Role","group","a08b4352-f56e-4747-b81a-0ce3844b357f","AWS-639173460943-BR_UNIPRU_TST_ReadOnly_User_Role","S-1-5-21-1064954374-356710528-997385118-212975"
"CN=UC-WebEx-Global,OU=CORP Exchange,OU=CORP,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","UC-WebEx-Global","group","a87713c4-fb88-4fa7-9975-8b870ef1fec0","UC-WebEx-Global","S-1-5-21-1064954374-356710528-997385118-223226"
"CN=WMAP-PerformanceReporting-DEV,OU=HBAD Exchange,OU=HBAD,DC=bsg,DC=ad,DC=adp,DC=com","Distribution","Universal","WMAP-PerformanceReporting-DEV","group","57ef35e7-9f87-48b6-9a9e-4dfab4a02538","WMAP-PerformanceReporting-DEV","S-1-5-21-1064954374-356710528-997385118-234656"
"CN=BR-ISE-DUO-EMP,OU=CORP Groups,OU=CORP,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","BR-ISE-DUO-EMP","group","daa21285-1ce6-4669-abb2-2d7e277aaade","BR-ISE-DUO-EMP","S-1-5-21-1064954374-356710528-997385118-242139"
"CN=Monitoring_GTO,OU=EDGE Groups,OU=Edge,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","Monitoring_GTO","group","b20ae6d0-e23a-40b9-9a3b-88c80fdfcf51","Monitoring_GTO","S-1-5-21-1064954374-356710528-997385118-254800"
"CN=AWS_541315711503_ReadAccess_Users,OU=CORP AWS Exchange,OU=CORP,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","AWS_541315711503_ReadAccess_Users","group","0715989e-bc9d-4d17-9fb1-7e5e388a0d27","AWS_541315711503_ReadAccess_Users","S-1-5-21-1064954374-356710528-997385118-264885"
"CN=AWS_554508204760_ReadAccess_Users,OU=CORP AWS Exchange,OU=CORP,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","AWS_554508204760_ReadAccess_Users","group","e8b0cd3e-2d7a-4d43-8189-8444c43dbbcc","AWS_554508204760_ReadAccess_Users","S-1-5-21-1064954374-356710528-997385118-261547"
"CN=AWS_639173460943_ReadAccess_Users,OU=CORP AWS Exchange,OU=CORP,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","AWS_639173460943_ReadAccess_Users","group","225babb7-6145-4eb8-83b6-9bae86c18583","AWS_639173460943_ReadAccess_Users","S-1-5-21-1064954374-356710528-997385118-266810"
"CN=BR-Wealth(India),OU=HBAD Exchange,OU=HBAD,DC=bsg,DC=ad,DC=adp,DC=com","Distribution","Universal","BR-Wealth(India)","group","79e0e1f5-54e4-419a-9670-e14819b7142f","BR-Wealth(India)","S-1-5-21-1064954374-356710528-997385118-275077"
"CN=PRLITE-DevSupport,OU=BGLR Exchange,OU=BGLR,DC=bsg,DC=ad,DC=adp,DC=com","Distribution","Universal","PRLITE-DevSupport","group","30ba1996-388d-4dc5-b9d5-3009dd01e925","PRLITEDEVSUPPORT","S-1-5-21-1064954374-356710528-997385118-280150"
"CN=AWS_010168496246_ReadAccess_Users,OU=CORP AWS Exchange,OU=CORP,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","AWS_010168496246_ReadAccess_Users","group","109008c7-d372-466a-adba-be39f058ae75","AWS_010168496246_ReadAccess_Users","S-1-5-21-1064954374-356710528-997385118-276795"
"CN=AWS-010168496246-BR_PRLITE_DEV_DeveloperPower_User_Role,OU=CORP AWS Groups,OU=CORP,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","AWS-010168496246-BR_PRLITE_DEV_DeveloperPower_User_Role","group","09865035-b4f8-437f-9a88-80ce08061e21","AWS-010168496246-BR_PRLITE_DEV_DeveloperPower_User_Role","S-1-5-21-1064954374-356710528-997385118-280600"
"CN=BR India FTE All,OU=HBAD Exchange,OU=HBAD,DC=bsg,DC=ad,DC=adp,DC=com","Distribution","Universal","BR India FTE All","group","a35ce6d9-9fa1-43b8-ab54-1e1af3d0af62","BR India FTE All","S-1-5-21-1064954374-356710528-997385118-283770"
"CN=PostEdgeReportMiningAWSSupport,OU=KNCY Exchange,OU=KNCY,DC=bsg,DC=ad,DC=adp,DC=com","Distribution","Universal","PostEdgeReportMiningAWSSupport","group","5c34bcc3-5ba4-4992-b04a-9cd8954fced8","PostEdgeReportMiningAWSSupport","S-1-5-21-1064954374-356710528-997385118-301923"
"CN=BR India Leads,OU=HBAD Exchange,OU=HBAD,DC=bsg,DC=ad,DC=adp,DC=com","Distribution","Universal","BR India Leads","group","f015e1f4-5f3d-4cfa-8700-aa4595a82bbe","BR India Leads-1-659255760","S-1-5-21-1064954374-356710528-997385118-300102"
"CN=ALL_Leader_Prasad Vemuri Org_Assoc Only_GBS,OU=CORP Exchange,OU=CORP,DC=bsg,DC=ad,DC=adp,DC=com","Distribution","Universal","ALL_Leader_Prasad Vemuri Org_Assoc Only_GBS","group","f8432f57-b7ee-4ed9-b123-ccf0638affb7","ALL_Leader_Prasad Vemuri Org_Assoc Only_GBS","S-1-5-21-1064954374-356710528-997385118-289508"
"CN=Test GTO FTE All (India),OU=HBAD Exchange,OU=HBAD,DC=bsg,DC=ad,DC=adp,DC=com","Distribution","Universal","Test GTO FTE All (India)","group","a3b39adc-d8a8-4006-b9d3-ffc236b689b6","Test GTO FTE All (India)-1367721550","S-1-5-21-1064954374-356710528-997385118-300365"
"CN=BR India RM3,OU=HBAD Exchange,OU=HBAD,DC=bsg,DC=ad,DC=adp,DC=com","Distribution","Universal","BR India RM3","group","cbc3ae1b-74cd-473c-a8d4-5a945920f861","BR India RM3","S-1-5-21-1064954374-356710528-997385118-314382"
"CN=GTO-PRHVY_DevOps_GitLab_Users,OU=CORP DevOps,OU=CORP,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","GTO-PRHVY_DevOps_GitLab_Users","group","93aacd2b-b915-4d44-8101-169b6e96942f","GTO-PRHVY_DevOps_GitLab_Users-1-1763094392","S-1-5-21-1064954374-356710528-997385118-314705"
"CN=All_Leader_John Hogan Org_AssocOnly_GBS,OU=CORP Exchange,OU=CORP,DC=bsg,DC=ad,DC=adp,DC=com","Distribution","Universal","All_Leader_John Hogan Org_AssocOnly_GBS","group","efd77791-abb1-47a2-b709-4ec386255c52","All_Leader_John Hogan Org_AssocOnly_GBS-195988008","S-1-5-21-1064954374-356710528-997385118-306879"
"CN=All_Leader_Sheenam Ohrie Org_GBS,OU=CORP Exchange,OU=CORP,DC=bsg,DC=ad,DC=adp,DC=com","Distribution","Universal","All_Leader_Sheenam Ohrie Org_GBS","group","81f2a5b5-59d0-41c9-8784-8d03dcb85b18","All_Leader_Sheenam Ohrie Org_GBS-1-213913260","S-1-5-21-1064954374-356710528-997385118-316231"
"CN=All_Leader_Sheenam Ohrie Org_Assoc Only_GBS,OU=CORP Exchange,OU=CORP,DC=bsg,DC=ad,DC=adp,DC=com","Distribution","Universal","All_Leader_Sheenam Ohrie Org_Assoc Only_GBS","group","d94fb4b4-2649-4412-ab54-57dd1ab433c6","All_Leader_Sheenam Ohrie Org_Assoc Only_GBS-1-1933640362","S-1-5-21-1064954374-356710528-997385118-316807"
"CN=ALL_Leader_Prasad Vemuri Org_GBS,OU=CORP Exchange,OU=CORP,DC=bsg,DC=ad,DC=adp,DC=com","Distribution","Universal","ALL_Leader_Prasad Vemuri Org_GBS","group","429b7e49-fa9f-4890-af7f-3386ba7c2c61","ALL_Leader_Prasad Vemuri Org_GBS-1477926278","S-1-5-21-1064954374-356710528-997385118-316267"
