#TYPE Microsoft.ActiveDirectory.Management.ADGroup
"distinguishedName","GroupCategory","GroupScope","name","objectClass","objectGUID","SamAccountName","SID"
"CN=ALL_Jenkins_DevOps_Access List_GBS,OU=CORP Exchange,OU=CORP,DC=bsg,DC=ad,DC=adp,DC=com","Security","DomainLocal","ALL_Jenkins_DevOps_Access List_GBS","group","559c6a10-1e57-4b06-9021-f4b83a11e171","ALL_Jenkins_DevOps_Access List_GBS","S-1-5-21-1064954374-356710528-997385118-200992"
"CN=ALL_Leader0_Tim Gokey Org_Associates Only_GBS,OU=CORP Exchange,OU=CORP,DC=bsg,DC=ad,DC=adp,DC=com","Distribution","Universal","ALL_Leader0_Tim Gokey Org_Associates Only_GBS","group","5591ee82-63c5-47e8-843a-491b447a8961","ALL_Leader0_Tim Gokey Org_Associates Only_GBS","S-1-5-21-1064954374-356710528-997385118-210711"
"CN=UC-WebEx-Global,OU=CORP Exchange,OU=CORP,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","UC-WebEx-Global","group","a87713c4-fb88-4fa7-9975-8b870ef1fec0","UC-WebEx-Global","S-1-5-21-1064954374-356710528-997385118-223226"
"CN=ALL_Global_Client_Services_GBS,OU=CORP Exchange,OU=CORP,DC=bsg,DC=ad,DC=adp,DC=com","Distribution","Universal","ALL_Global_Client_Services_GBS","group","78287b80-9f92-4c0f-b378-7d37b96bf4ba","ALL_Global_Client_Services_GBS","S-1-5-21-1064954374-356710528-997385118-227580"
"CN=ALL_Global_Client_Services_India_GBS,OU=CORP Exchange,OU=CORP,DC=bsg,DC=ad,DC=adp,DC=com","Distribution","Universal","ALL_Global_Client_Services_India_GBS","group","39a75f39-798e-45c0-aed3-d4de9f97438a","ALL_Global_Client_Services_India_GBS","S-1-5-21-1064954374-356710528-997385118-225572"
"CN=BR-ISE-DUO-EMP,OU=CORP Groups,OU=CORP,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","BR-ISE-DUO-EMP","group","daa21285-1ce6-4669-abb2-2d7e277aaade","BR-ISE-DUO-EMP","S-1-5-21-1064954374-356710528-997385118-242139"
"CN=All_GTO_Client_Services_GBS,OU=CORP Exchange,OU=CORP,DC=bsg,DC=ad,DC=adp,DC=com","Distribution","Universal","All_GTO_Client_Services_GBS","group","f8f6f6f7-cfa0-4418-abba-fbca3567c802","All_GTO_Client_Services_GBS","S-1-5-21-1064954374-356710528-997385118-249131"
"CN=GTO-BASADV_DevOps_GitLab_Users,OU=CORP DevOps,OU=CORP,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","GTO-BASADV_DevOps_GitLab_Users","group","30feb0e8-9214-4a86-a028-df0c4074e590","GTO-BASADV_DevOps_GitLab_Users","S-1-5-21-1064954374-356710528-997385118-259436"
"CN=GTO-BASADV_DevOps_Jenkins_Users,OU=CORP DevOps,OU=CORP,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","GTO-BASADV_DevOps_Jenkins_Users","group","01053a56-12d9-4a3d-94b6-6f6ecc7a3065","GTO-BASADV_DevOps_Jenkins_Users","S-1-5-21-1064954374-356710528-997385118-252355"
"CN=AWS-930004526590-BR_BASADV_DEV_SecretManager2_Role,OU=CORP AWS Groups,OU=CORP,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","AWS-930004526590-BR_BASADV_DEV_SecretManager2_Role","group","c29cf4da-4409-44ca-b2bf-2b8521272584","AWS-930004526590-BR_BASADV_DEV_SecretManager2_Role","S-1-5-21-1064954374-356710528-997385118-260045"
"CN=AWS-930004526590-BR_BASADV_DEV_DeveloperPower_User_Role,OU=CORP AWS Groups,OU=CORP,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","AWS-930004526590-BR_BASADV_DEV_DeveloperPower_User_Role","group","9574fce9-408e-4218-b57b-83ffc39a65c6","AWS-930004526590-BR_BASADV_DEV_DeveloperPower_User_Role","S-1-5-21-1064954374-356710528-997385118-260048"
"CN=AWS_930004526590_ReadAccess_Users,OU=CORP AWS Exchange,OU=CORP,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","AWS_930004526590_ReadAccess_Users","group","3030b774-efa2-448a-98b2-74e477d3c0ff","AWS_930004526590_ReadAccess_Users","S-1-5-21-1064954374-356710528-997385118-266757"
"CN=AWS_179924659095_ReadAccess_Users,OU=CORP AWS Exchange,OU=CORP,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","AWS_179924659095_ReadAccess_Users","group","e2015c1c-ec40-4ba8-8b4b-ddf23bc95a2c","AWS_179924659095_ReadAccess_Users","S-1-5-21-1064954374-356710528-997385118-275252"
"CN=AWS-179924659095-BR_BASADV_TST_SecretManager2_Role,OU=CORP AWS Groups,OU=CORP,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","AWS-179924659095-BR_BASADV_TST_SecretManager2_Role","group","8b166870-ef21-4b01-88d1-670d1f6c7824","AWS-179924659095-BR_BASADV_TST_SecretManager2_Role","S-1-5-21-1064954374-356710528-997385118-269480"
"CN=AWS-179924659095-BR_BASADV_TST_ServiceDelivery_User_Role,OU=CORP AWS Groups,OU=CORP,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","AWS-179924659095-BR_BASADV_TST_ServiceDelivery_User_Role","group","22069d46-a7b7-4e60-bfd9-c4e0e949b820","AWS-179924659095-BR_BASADV_TST_ServiceDelivery_User_Role","S-1-5-21-1064954374-356710528-997385118-269485"
"CN=Wealth Management Change Notification GBS_GBS,OU=CORP Exchange,OU=CORP,DC=bsg,DC=ad,DC=adp,DC=com","Distribution","Universal","Wealth Management Change Notification GBS_GBS","group","eb3023ce-6958-45d1-a1eb-885c7fb3bfc3","Wealth Management Change Notification GBS_GBS","S-1-5-21-1064954374-356710528-997385118-270910"
"CN=BR India FTE All,OU=HBAD Exchange,OU=HBAD,DC=bsg,DC=ad,DC=adp,DC=com","Distribution","Universal","BR India FTE All","group","a35ce6d9-9fa1-43b8-ab54-1e1af3d0af62","BR India FTE All","S-1-5-21-1064954374-356710528-997385118-283770"
"CN=GTO FTE All (India),OU=HBAD Exchange,OU=HBAD,DC=bsg,DC=ad,DC=adp,DC=com","Distribution","Universal","GTO FTE All (India)","group","aa314956-1da2-44cb-9c4a-bb3a00f987cb","GTO FTE All (India)","S-1-5-21-1064954374-356710528-997385118-300366"
"CN=BR India RM2,OU=HBAD Exchange,OU=HBAD,DC=bsg,DC=ad,DC=adp,DC=com","Distribution","Universal","BR India RM2","group","bea9f896-3f4f-4a4e-82e7-eb170a4afa34","BR India RM2","S-1-5-21-1064954374-356710528-997385118-314381"
"CN=BR-ChatGPTAllowed,OU=EDGE Groups,OU=Edge,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","BR-ChatGPTAllowed","group","a52aadd1-8ce3-43bf-9915-549830ab7ce3","BR-ChatGPTAllowed","S-1-5-21-1064954374-356710528-997385118-309214"
"CN=All_Leader_John Hogan Org_AssocOnly_GBS,OU=CORP Exchange,OU=CORP,DC=bsg,DC=ad,DC=adp,DC=com","Distribution","Universal","All_Leader_John Hogan Org_AssocOnly_GBS","group","efd77791-abb1-47a2-b709-4ec386255c52","All_Leader_John Hogan Org_AssocOnly_GBS-195988008","S-1-5-21-1064954374-356710528-997385118-306879"
"CN=All_Leader_Sheenam Ohrie Org_GBS,OU=CORP Exchange,OU=CORP,DC=bsg,DC=ad,DC=adp,DC=com","Distribution","Universal","All_Leader_Sheenam Ohrie Org_GBS","group","81f2a5b5-59d0-41c9-8784-8d03dcb85b18","All_Leader_Sheenam Ohrie Org_GBS-1-213913260","S-1-5-21-1064954374-356710528-997385118-316231"
"CN=All_Leader_Sheenam Ohrie Org_Assoc Only_GBS,OU=CORP Exchange,OU=CORP,DC=bsg,DC=ad,DC=adp,DC=com","Distribution","Universal","All_Leader_Sheenam Ohrie Org_Assoc Only_GBS","group","d94fb4b4-2649-4412-ab54-57dd1ab433c6","All_Leader_Sheenam Ohrie Org_Assoc Only_GBS-1-1933640362","S-1-5-21-1064954374-356710528-997385118-316807"
